positive_keywords,negative_keywords
baik,buruk
cepat,jelek
memuaskan,emosi
suka,terlambat
puas,masalah
bagus,tidak
terima kasih,kesal
helpful,gagal
mantap,kekurangan
recommended,sulit
terpercaya,kecewa
ramah,lambat
menyenangkan,mengecewakan
memudahkan,lemot
efisien,ribet
terbaik,tidak puas
luar biasa,menyebalkan
excellent,parah
perfect,payah
reliable,cacat
proses cepat,rusak
respon cepat,batal
top,hilang
profesional,salah
nyaman,error
bersih,tidak berfungsi
hemat,tidak berguna
praktis,tidak membantu
menguntungkan,menjengkelkan
menakjubkan,marah
murah,kacau
mudah,nggak suka
responsif,jengkel
solutif,bete
hebat,sial
terima kasih banyak,kapok
senang,menyesal
gembira,biaya mahal
amazing,tidak sesuai
wow,tak berguna
apresiasi,menipu
brilian,merugikan
superb,kebingungan
fleksibel,bingung
bantu,tidak jelas
support,penipuan
paling baik,kerugian
efektif,menyedihkan
great,melampaui batas
bagus sekali,kurang ajar
canggih,tidak profesional
unggul,arogan
respons,sulit sekali
sangat membantu,sebel
fantastis,malas
bahagia,lelet
memuaskan sekali,dihindari
puas sekali,frustrasi
friendly,menyulitkan
fast,kurang
enak,tidak akurat
top banget,sangat buruk
no 1,menyusahkan
top markotop,sampai kapan
keren,tidak beres
berkualitas,lemah
worth it,kacau balau
happy,mati
menawan,jatuh kualitas
senang sekali,tidak efektif
terpercaya banget,salah besar
memuaskan hati,mahal banget
pengiriman sangat cepat,overpriced
sangat puas,masih salah
recommended banget,tidak stabil
sukses terus,tidak kompeten
terimakasih banyak,tidak memuaskan
hasil maksimal,delay
solusi terbaik,terlalu lama
bermanfaat,tidak tepat waktu
memberi inspirasi,kurang responsif
optimis,pelayanan buruk
tingkat lanjut,tidak ada respon
memenuhi kebutuhan,dibiarkan
juara,tidak ditindaklanjuti
paling keren,pelayanan mengecewakan
extraordinary,tidak ramah
sangat rekomendasi,tidak ada solusi
top notch,tidak tuntas
best service,komplain diabaikan
solid,tidak diproses
worth every penny,keluhan diabaikan
penyelesaian cepat,proses lama
murah hati,tidak sesuai janji
keunggulan,belum selesai
very helpful,tidak hadir
sangat efektif,tidak memuaskan
tiada tanding,tidak ada perkembangan
highly appreciated,informasi palsu
bangga sekali,tidak sesuai harapan
sangat puas sekali,tidak bertanggung jawab
tidak kecewa,tidak ada perubahan
pas banget,mengabaikan
mengagumkan,pelayanan lambat
nyaman banget,tidak update
menyenangkan sekali,tidak ada komunikasi
luar biasa sekali,tidak profesional
fabulous,ketidakjelasan
spektakuler,barang rusak
fantastis sekali,belum dikirim
total support,tidak sampai
membantu banget,salah kirim
love it,barang tertunda
tak terkalahkan,kurang jelas
benar-benar bermanfaat,tidak ada penjelasan
,respons lama
,diminta tunggu
,tidak peduli
,diabaikan
,tidak mengerti
,tidak membantu sama sekali
,tidak ada info
,tidak ada kepastian
,tidak kooperatif
,tidak ramah sama sekali
,tidak diterima
,tidak sesuai deskripsi
,tidak layak
,tidak aman
,menunggu terlalu lama
,tidak worth it
,pengalaman buruk
,tidak konsisten
,tidak diperbaiki
,tidak ada perbaikan
,tidak sesuai ekspektasi
,tidak terawat
,tidak ada tindak lanjut
,menunggu tanpa hasil
,tidak ada follow-up
,tidak memuaskan sekali
,kecewa berat
,tidak ada kejelasan
bangkit,kecewa sekali
harapan,tidak direkomendasikan
menginspirasi,buang-buang waktu
pujian,tidak layak
rasa hormat,membingungkan
sangat membantu sekali,bikin pusing
solusi,merusak mood
terbantu,tidak nyaman
nyaman di hati,sangat tidak puas
senyuman,pengalaman buruk
kreatif,service buruk
cerdas,tidak worth it
sangat baik,perlu perbaikan
membahagiakan,tidak bisa dipercaya
luar biasa cepat,pelayanan lambat
sangat responsif,bikin kesal
tak terkalahkan,mahal dan buruk
highly recommended,overpriced
best ever,terlalu mahal
tidak ada lawan,membosankan
kualitas nomor satu,susah diakses
terjangkau,tidak memuaskan sekali
ramah di kantong,tidak aman sama sekali
solusi jitu,tidak jelas arah
harga bersahabat,tidak lengkap
kualitas istimewa,tidak profesional
layak dicoba,sulit dimengerti
pengalaman menyenangkan,pelayanan tidak maksimal
mantap sekali,tidak memberi solusi
hebat sekali,tidak konsisten
pasti puas,tidak ada follow-up
layanan top,sangat mengecewakan
prima,tidak sesuai ekspektasi
layanan cepat,pelayanan kurang
serba cepat,kurang efisien
hemat waktu,lelah menunggu
sangat efektif sekali,sulit dihubungi
sangat fleksibel,tidak peduli
istimewa,dibiarkan begitu saja
unggulan,tidak sopan
tak ternilai,menyebalkan sekali
sesuai harapan,tidak serius
kualitas tinggi,tidak membantu sama sekali
layak dipercaya,tidak ada niat baik
fantastic,sangat lambat
tak terbandingkan,menunggu lama sekali
keren banget,tidak terawat
berkualitas banget,merugikan sekali
,kualitas buruk
,tidak sesuai deskripsi
,tidak profesional sama sekali
,penuh kesalahan
,penanganan tidak tepat
,sangat mengesalkan
,tidak layak dicoba
,benar-benar mengecewakan
solid teamwork,very disappointing
responsive staff,false information
easy setup,not worth it
worth the value,overcharged
high quality,lackluster
absolutely perfect,waste of money
best choice,difficult to reach
glad,completely unhelpful
trustworthy,broken
extremely happy,damaged
very helpful support,worst experience
strongly recommend,misleading
always reliable,horrible
on point,never again
smooth process,not working
totally worth it,totally unacceptable
extremely helpful,no support
five stars,pathetic
incredible,rude staff
pleased,waiting forever
super reliable,abandoned
very clean,flawed
convenient,useless
generous,unprofessional
efficient,chaotic
heartwarming,painful
delighted,badly managed
best investment,completely ignored
comforting,mismanaged
thoughtful,pointless
best quality,completely useless
beyond expectations,total disaster
flawless,never again
on time,awful
easy to use,rip off
worth every penny,not acceptable
super satisfied,nonresponsive
strongly suggest,poor quality
fully reliable,terrible service
best service ever,never answered
super friendly,abysmal
will come back,false claims
amazing experience,felt cheated
well done,not happy
thank you very much,super slow
easy transaction,lousy
excellent product,underwhelming
highly beneficial,shady
love the support,subpar
very convenient,horrendous
no regrets,incompetent
life saver,inexcusable
well worth it,extremely bad
all good,saddening
smooth operation,overrated
highly favorable,far from expectations
positive vibes,poorly executed
very pleased,frustrating
reliable service,very slow
super effective,deceptive
very affordable,no solution
painless,terrible
seamless,unfulfilled promises
outstanding performance,very inconvenient
polite,highly priced
easy booking,lacking
hassle-free,deficient
superb quality,not dependable
nice attitude,crappy
thankful,let down
reliable team,scam
easy access,shocking
great deal,grossly overpriced
all-time best,sickening
peaceful,infuriating
highly trustable,ruined
helpful guidance,pathetic response
perfectly managed,no follow-up
great job,no feedback
totally pleased,empty promises
kind staff,made things worse
very professional,very weak
trustworthy choice,horrific
exceptionally helpful,misled
well worth the wait,untrustworthy
attentive,upsetting
prompt response,very lazy
top rated,despicable
loved it,regretful
all positive,terrible quality
remarkably fast,disrespectful
very easy,abominable
safe,bad attitude
high standard,absurd
truly convenient,exorbitant
really good,thoroughly disappointing
best offer,extremely poor
out of this world,overwhelmed
enjoyable,bitter
smooth service,unsatisfactory
